Date,WBS_ID,Physical_Progress_Pct
2026-05-08 00:00:00,WBS-01,0.083333
2026-05-08 00:00:00,WBS-02,1
2026-05-08 00:00:00,WBS-03,0.265
2026-05-15 00:00:00,WBS-01,0.166667
2026-05-15 00:00:00,WBS-02,1
2026-05-15 00:00:00,WBS-03,0.6
2026-05-15 00:00:00,WBS-04,0.2
2026-05-15 00:00:00,WBS-05,0.351818
2026-05-22 00:00:00,WBS-01,0.25
2026-05-22 00:00:00,WBS-02,1
2026-05-22 00:00:00,WBS-03,1
2026-05-22 00:00:00,WBS-04,0.45
2026-05-22 00:00:00,WBS-05,0.45
2026-05-29 00:00:00,WBS-01,0.333333
2026-05-29 00:00:00,WBS-02,1
2026-05-29 00:00:00,WBS-03,1
2026-05-29 00:00:00,WBS-04,0.7
2026-05-29 00:00:00,WBS-05,0.85
2026-05-29 00:00:00,WBS-06,0.222359
2026-06-05 00:00:00,WBS-01,0.416667
2026-06-05 00:00:00,WBS-02,1
2026-06-05 00:00:00,WBS-03,1
2026-06-05 00:00:00,WBS-04,1
2026-06-05 00:00:00,WBS-05,1
2026-06-05 00:00:00,WBS-06,0.5
2026-06-05 00:00:00,WBS-07,0.110963
2026-06-12 00:00:00,WBS-01,0.5
2026-06-12 00:00:00,WBS-02,1
2026-06-12 00:00:00,WBS-03,1
2026-06-12 00:00:00,WBS-04,1
2026-06-12 00:00:00,WBS-05,1
2026-06-12 00:00:00,WBS-06,0.7
2026-06-12 00:00:00,WBS-07,0.4
2026-06-12 00:00:00,WBS-08,0.248857
